LAX,Los Angeles CA - Los Angeles International
PHX,Phoenix AZ - Sky Harbor International
DFW,DFW Airport TX - Dallas/Fort Worth International
DEN,Denver CO - Denver International
LAS,Las Vegas NV - Harry Reid International
IAH,Houston TX - George Bush Intercontinental
MSP,Minneapolis NN - St. Paul International
ORD,Chicago IL - O'Hare International
DCA,Washington DC - Ronald Reagan National
